Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),500,117.03,93.19,88.65
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),1000,121.01,96.74,92.03
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),1500,129.00,103.84,98.76
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),2000,131.00,105.61,100.45
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),2500,133.00,107.39,102.14
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),3000,144.98,118.03,112.25
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),4000,148.96,121.58,115.63
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),5000,152.95,125.13,119.00
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),7500,181.95,150.90,143.49
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),10000,197.56,164.79,156.66
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),12500,226.56,190.56,181.16
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),15000,242.19,204.44,194.34
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),20000,286.80,244.10,232.01
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),25000,331.41,283.75,269.69
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),30000,376.03,323.41,307.36
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),35000,420.64,363.06,345.04
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),40000,446.74,386.72,367.50
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),45000,489.57,424.79,403.67
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),50000,532.40,462.86,439.84
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),55000,575.24,500.93,476.01
Postkarten,74 x 52 mm (A8),300g Offsetkarton,1/1-farbig (HKS oder Pantone),60000,618.06,539.00,512.18
